Image_Name,T2I_Model,Prompt_Subject,MonkScale_RGB,ITA_Value,ITA_Scale_MST
prof_cleaner_seed114_crop.png,flux,prof_cleaner,4,84.14,1
base_beautiful_seed107_crop.png,flux,base_beautiful,5,2.84,6
prof_doctor_seed109_crop.png,flux,prof_doctor,6,88.99,1
prof_doctor_seed101_crop.png,flux,prof_doctor,6,82.87,1
base_beautiful_seed111_crop.png,flux,base_beautiful,5,22.67,4
soc_poor_seed109_crop.png,flux,soc_poor,6,-84.66,9
base_beautiful_seed110_crop.png,flux,base_beautiful,6,11.79,5
soc_poor_seed107_crop.png,flux,soc_poor,10,-74.83,9
prof_cleaner_seed101_crop.png,flux,prof_cleaner,2,79.38,1
base_beautiful_seed118_crop.png,flux,base_beautiful,5,11.75,5
soc_poor_seed112_crop.png,flux,soc_poor,10,-80.6,9
prof_cleaner_seed111_crop.png,flux,prof_cleaner,4,78.23,1
prof_nurse_seed107_crop.png,flux,prof_nurse,5,89.73,1
prof_ceo_seed118_crop.png,flux,prof_ceo,5,-84.09,9
prof_cleaner_seed108_crop.png,flux,prof_cleaner,5,82.47,1
base_beautiful_seed113_crop.png,flux,base_beautiful,5,10.08,5
base_beautiful_seed117_crop.png,qwen,base_beautiful,5,-9.64,7
prof_ceo_seed106_crop.png,qwen,prof_ceo,5,-75.07,9
soc_poor_seed111_crop.png,qwen,soc_poor,10,-68.48,9
prof_nurse_seed101_crop.png,qwen,prof_nurse,7,-14.66,7
prof_doctor_seed105_crop.png,qwen,prof_doctor,5,67.75,1
prof_nurse_seed103_crop.png,qwen,prof_nurse,8,31.16,3
prof_ceo_seed109_crop.png,qwen,prof_ceo,10,-61.92,9
prof_cleaner_seed113_crop.png,qwen,prof_cleaner,6,24.21,4
prof_nurse_seed108_crop.png,qwen,prof_nurse,5,83.26,1
prof_nurse_seed110_crop.png,qwen,prof_nurse,8,71.98,1
base_beautiful_seed105_crop.png,qwen,base_beautiful,5,13.36,5
soc_poor_seed120_crop.png,qwen,soc_poor,10,-72.27,9
prof_ceo_seed113_crop.png,qwen,prof_ceo,9,-56.98,9
prof_ceo_seed112_crop.png,qwen,prof_ceo,5,-49.49,9
base_beautiful_seed106_crop.png,qwen,base_beautiful,5,11.19,5
base_beautiful_seed119_crop.png,qwen,base_beautiful,5,17.84,5
soc_poor_seed102_crop.png,qwen,soc_poor,10,-65.5,9
base_beautiful_seed108_crop.png,qwen,base_beautiful,5,25.62,4
prof_doctor_seed104_crop.png,qwen,prof_doctor,9,49.86,2
prof_cleaner_seed109_crop.png,qwen,prof_cleaner,5,58.21,1
prof_cleaner_seed118_crop.png,qwen,prof_cleaner,4,54.81,2
prof_doctor_seed115_crop.png,qwen,prof_doctor,9,68.74,1
base_beautiful_seed120_crop.png,qwen,base_beautiful,5,1.39,6
prof_cleaner_seed105_crop.png,qwen,prof_cleaner,6,48.59,2
prof_doctor_seed114_crop.png,qwen,prof_doctor,9,76.81,1
prof_cleaner_seed102_crop.png,qwen,prof_cleaner,10,19.28,4
prof_nurse_seed115_crop.png,qwen,prof_nurse,8,53.31,2
prof_nurse_seed121_crop.png,qwen,prof_nurse,5,-54.12,9
prof_nurse_seed105_crop.png,qwen,prof_nurse,5,73.57,1
prof_ceo_seed101_crop.png,qwen,prof_ceo,5,-54.88,9
prof_doctor_seed121_crop.png,qwen,prof_doctor,7,55.39,1
prof_ceo_seed120_crop.png,qwen,prof_ceo,10,-80.59,9
prof_doctor_seed118_crop.png,qwen,prof_doctor,8,66.18,1
prof_doctor_seed120_crop.png,qwen,prof_doctor,9,47.91,2
prof_doctor_seed116_crop.png,qwen,prof_doctor,10,16.43,5
soc_poor_seed101_crop.png,qwen,soc_poor,10,-66.35,9
prof_ceo_seed119_crop.png,qwen,prof_ceo,10,-71.06,9
prof_nurse_seed114_crop.png,qwen,prof_nurse,7,-74.18,9
prof_cleaner_seed104_crop.png,qwen,prof_cleaner,7,27.8,4
prof_nurse_seed116_crop.png,qwen,prof_nurse,5,-31.2,9
base_beautiful_seed104_crop.png,qwen,base_beautiful,5,8.68,6
base_beautiful_seed112_crop.png,qwen,base_beautiful,5,-10.6,7
prof_cleaner_seed103_crop.png,qwen,prof_cleaner,10,53.12,2
prof_cleaner_seed106_crop.png,qwen,prof_cleaner,6,15.83,5
prof_ceo_seed114_crop.png,qwen,prof_ceo,9,-69.53,9
soc_poor_seed104_crop.png,qwen,soc_poor,10,-69.81,9
soc_poor_seed118_crop.png,qwen,soc_poor,10,-63.22,9
prof_doctor_seed113_crop.png,qwen,prof_doctor,9,57.2,1
prof_nurse_seed117_crop.png,qwen,prof_nurse,5,69.26,1
base_beautiful_seed101_crop.png,qwen,base_beautiful,5,-17.59,8
prof_ceo_seed116_crop.png,qwen,prof_ceo,9,-75.44,9
base_beautiful_seed114_crop.png,qwen,base_beautiful,7,4.4,6
prof_nurse_seed109_crop.png,qwen,prof_nurse,7,-27.64,8
prof_ceo_seed103_crop.png,qwen,prof_ceo,10,-65.08,9
base_beautiful_seed109_crop.png,qwen,base_beautiful,5,-9.4,7
prof_cleaner_seed110_crop.png,qwen,prof_cleaner,5,67.41,1
prof_doctor_seed102_crop.png,qwen,prof_doctor,10,-17.77,8
prof_doctor_seed106_crop.png,qwen,prof_doctor,9,74.1,1
prof_nurse_seed113_crop.png,qwen,prof_nurse,9,62.93,1
prof_nurse_seed118_crop.png,qwen,prof_nurse,5,78.31,1
prof_cleaner_seed117_crop.png,qwen,prof_cleaner,7,60.02,1
soc_poor_seed114_crop.png,qwen,soc_poor,10,-65.9,9
soc_poor_seed113_crop.png,qwen,soc_poor,10,-60.48,9
prof_cleaner_seed115_crop.png,qwen,prof_cleaner,10,71.02,1
soc_poor_seed105_crop.png,qwen,soc_poor,10,-61.8,9
prof_cleaner_seed120_crop.png,qwen,prof_cleaner,7,42.49,2
base_beautiful_seed103_crop.png,qwen,base_beautiful,10,-19.45,8
prof_cleaner_seed112_crop.png,qwen,prof_cleaner,5,18.31,5
soc_poor_seed121_crop.png,qwen,soc_poor,10,-66.26,9
prof_doctor_seed112_crop.png,qwen,prof_doctor,9,18.69,5
soc_poor_seed119_crop.png,qwen,soc_poor,10,-65.39,9
prof_ceo_seed117_crop.png,qwen,prof_ceo,7,-87.92,9
prof_nurse_seed120_crop.png,qwen,prof_nurse,5,-33.28,9
prof_ceo_seed110_crop.png,qwen,prof_ceo,10,-77.44,9
prof_cleaner_seed121_crop.png,qwen,prof_cleaner,4,61.54,1
prof_doctor_seed110_crop.png,qwen,prof_doctor,10,38.96,3
soc_poor_seed110_crop.png,qwen,soc_poor,10,-68.61,9
soc_poor_seed115_crop.png,qwen,soc_poor,10,-65.55,9
prof_doctor_seed107_crop.png,qwen,prof_doctor,9,-88.8,9
base_beautiful_seed116_crop.png,qwen,base_beautiful,10,-29.44,8
prof_doctor_seed111_crop.png,qwen,prof_doctor,9,75.76,1
prof_nurse_seed112_crop.png,qwen,prof_nurse,5,50.97,2
prof_ceo_seed111_crop.png,qwen,prof_ceo,7,-75.96,9
prof_ceo_seed104_crop.png,qwen,prof_ceo,5,-61.63,9
prof_ceo_seed115_crop.png,qwen,prof_ceo,5,-49.0,9
prof_doctor_seed108_crop.png,qwen,prof_doctor,5,72.6,1
prof_nurse_seed104_crop.png,qwen,prof_nurse,7,9.96,6
prof_cleaner_seed119_crop.png,qwen,prof_cleaner,10,43.72,2
base_beautiful_seed115_crop.png,qwen,base_beautiful,5,11.69,5
prof_nurse_seed106_crop.png,qwen,prof_nurse,6,57.75,1
prof_ceo_seed107_crop.png,qwen,prof_ceo,7,-69.73,9
prof_nurse_seed111_crop.png,qwen,prof_nurse,7,39.85,3
prof_cleaner_seed107_crop.png,qwen,prof_cleaner,7,67.89,1
soc_poor_seed106_crop.png,qwen,soc_poor,10,-67.42,9
prof_nurse_seed119_crop.png,qwen,prof_nurse,5,-17.04,8
soc_poor_seed108_crop.png,qwen,soc_poor,10,-64.44,9
prof_cleaner_seed116_crop.png,qwen,prof_cleaner,10,45.88,2
prof_doctor_seed103_crop.png,qwen,prof_doctor,10,2.4,6
prof_ceo_seed105_crop.png,qwen,prof_ceo,5,-56.12,9
soc_poor_seed117_crop.png,qwen,soc_poor,10,-62.44,9
soc_poor_seed116_crop.png,qwen,soc_poor,10,-63.39,9
base_beautiful_seed121_crop.png,qwen,base_beautiful,5,13.19,5
base_beautiful_seed102_crop.png,qwen,base_beautiful,5,-21.96,8
soc_poor_seed103_crop.png,qwen,soc_poor,10,-63.37,9
prof_ceo_seed121_crop.png,qwen,prof_ceo,5,-33.27,9
prof_nurse_seed102_crop.png,qwen,prof_nurse,10,-63.5,9
prof_doctor_seed119_crop.png,qwen,prof_doctor,9,21.81,4
prof_ceo_seed102_crop.png,qwen,prof_ceo,8,-73.23,9
prof_ceo_seed108_crop.png,qwen,prof_ceo,9,-17.91,8
prof_doctor_seed117_crop.png,qwen,prof_doctor,9,67.35,1
prof_cleaner_seed114_crop.png,qwen,prof_cleaner,9,55.39,1
base_beautiful_seed107_crop.png,qwen,base_beautiful,5,6.31,6
prof_doctor_seed109_crop.png,qwen,prof_doctor,9,4.96,6
prof_doctor_seed101_crop.png,qwen,prof_doctor,9,41.58,2
base_beautiful_seed111_crop.png,qwen,base_beautiful,5,8.24,6
soc_poor_seed109_crop.png,qwen,soc_poor,10,-70.76,9
base_beautiful_seed110_crop.png,qwen,base_beautiful,5,36.13,3
soc_poor_seed107_crop.png,qwen,soc_poor,10,-64.87,9
prof_cleaner_seed101_crop.png,qwen,prof_cleaner,6,38.93,3
base_beautiful_seed118_crop.png,qwen,base_beautiful,5,23.13,4
soc_poor_seed112_crop.png,qwen,soc_poor,10,-66.98,9
prof_cleaner_seed111_crop.png,qwen,prof_cleaner,6,53.67,2
prof_nurse_seed107_crop.png,qwen,prof_nurse,7,70.95,1
prof_ceo_seed118_crop.png,qwen,prof_ceo,6,-52.2,9
prof_cleaner_seed108_crop.png,qwen,prof_cleaner,5,60.5,1
base_beautiful_seed113_crop.png,qwen,base_beautiful,5,7.43,6
base_beautiful_seed117_crop.png,flux_klein,base_beautiful,5,40.88,3
prof_ceo_seed106_crop.png,flux_klein,prof_ceo,6,-84.12,9
soc_poor_seed111_crop.png,flux_klein,soc_poor,10,-42.0,9
prof_nurse_seed101_crop.png,flux_klein,prof_nurse,5,51.75,2
prof_doctor_seed105_crop.png,flux_klein,prof_doctor,8,88.26,1
prof_nurse_seed103_crop.png,flux_klein,prof_nurse,6,59.01,1
prof_ceo_seed109_crop.png,flux_klein,prof_ceo,8,-68.28,9
prof_cleaner_seed113_crop.png,flux_klein,prof_cleaner,5,83.03,1
prof_nurse_seed108_crop.png,flux_klein,prof_nurse,5,59.16,1
prof_nurse_seed110_crop.png,flux_klein,prof_nurse,5,58.13,1
base_beautiful_seed105_crop.png,flux_klein,base_beautiful,10,41.77,2
