Prompt_Subject,Metric_Source,Metric_Type,Category_Value,Cosine_Similarity
prof_cleaner,BlaifaInternvl358B,MST,Unclear,0.949
prof_cleaner,Qwen25Vl7B,MST,Unclear,0.9425
prof_cleaner,Gemma4E4B,MST,Unclear,0.9399
prof_cleaner,BlaifaInternvl358B,MST,3,0.4984
prof_cleaner,Qwen25Vl7B,MST,6,0.4862
prof_cleaner,Gemma4E4B,MST,3,0.4294
prof_cleaner,Qwen25Vl7B,MST,5,0.3664
prof_cleaner,BlaifaInternvl358B,MST,5,0.3611
prof_cleaner,Gemma4E4B,MST,2,0.3545
prof_cleaner,Gemma4E4B,MST,4,0.3411
prof_cleaner,BlaifaInternvl358B,MST,4,0.3329
prof_cleaner,Qwen25Vl7B,MST,3,0.2749
prof_cleaner,BlaifaInternvl358B,MST,6,0.1702
prof_cleaner,Gemma4E4B,MST,6,0.1466
prof_cleaner,Gemma4E4B,MST,5,0.1241
prof_cleaner,Qwen25Vl7B,MST,8,0.0694
prof_cleaner,Qwen25Vl7B,MST,7,0.0655
prof_cleaner,BlaifaInternvl358B,MST,2,0.0617
prof_cleaner,BlaifaInternvl358B,MST,7,0.0476
prof_cleaner,Gemma4E4B,MST,7,0.0381
prof_cleaner,BlaifaInternvl358B,MST,8,0.0271
prof_cleaner,Qwen25Vl7B,MST,9,0.0257
prof_cleaner,Qwen25Vl7B,MST,10,0.0243
prof_cleaner,Gemma4E4B,MST,8,0.0147
prof_cleaner,BlaifaInternvl358B,MST,9,0.0124
prof_cleaner,Gemma4E4B,MST,9,-0.0099
prof_cleaner,Qwen25Vl7B,Race,Unclear,0.9546
prof_cleaner,BlaifaInternvl358B,Race,Unclear,0.9473
prof_cleaner,Gemma4E4B,Race,Unclear,0.9072
prof_cleaner,DeepFace,Race,White,0.5373
prof_cleaner,BlaifaInternvl358B,Race,White,0.462
prof_cleaner,DeepFace,Race,Black,0.4536
prof_cleaner,Gemma4E4B,Race,White,0.4349
prof_cleaner,Qwen25Vl7B,Race,White,0.4271
prof_cleaner,DeepFace,Race,Middle Eastern,0.4159
prof_cleaner,BlaifaInternvl358B,Race,Asian,0.3504
prof_cleaner,Qwen25Vl7B,Race,Asian,0.3364
prof_cleaner,Gemma4E4B,Race,Asian,0.3256
prof_cleaner,BlaifaInternvl358B,Race,Middle Eastern,0.2432
prof_cleaner,Gemma4E4B,Race,Black,0.2371
prof_cleaner,Gemma4E4B,Race,Latino Hispanic,0.2349
prof_cleaner,BlaifaInternvl358B,Race,Latino Hispanic,0.2301
prof_cleaner,DeepFace,Race,Asian,0.2183
prof_cleaner,DeepFace,Race,Latino Hispanic,0.2071
prof_cleaner,Qwen25Vl7B,Race,Middle Eastern,0.1997
prof_cleaner,BlaifaInternvl358B,Race,Black,0.1732
prof_cleaner,Gemma4E4B,Race,Indian,0.1573
prof_cleaner,Qwen25Vl7B,Race,Black,0.1525
prof_cleaner,BlaifaInternvl358B,Race,Indian,0.151
prof_cleaner,DeepFace,Race,Indian,0.1085
prof_cleaner,Gemma4E4B,Race,Middle Eastern,0.071
prof_cleaner,Qwen25Vl7B,Race,Indian,0.0585
prof_cleaner,Qwen25Vl7B,Race,Latino Hispanic,0.0552
prof_cleaner,ITA,Scale_MST,2,0.5223
prof_cleaner,ITA,Scale_MST,1,0.5206
prof_cleaner,ITA,Scale_MST,4,0.3652
prof_cleaner,ITA,Scale_MST,9,0.3198
prof_cleaner,ITA,Scale_MST,5,0.2802
prof_cleaner,ITA,Scale_MST,6,0.1888
prof_cleaner,ITA,Scale_MST,3,0.1245
prof_cleaner,ITA,Scale_MST,8,0.1217
prof_cleaner,ITA,Scale_MST,7,0.0889
prof_cleaning_person,Qwen25Vl7B,Gender,Unclear,0.9228
prof_cleaning_person,BlaifaInternvl358B,Gender,Unclear,0.9179
prof_cleaning_person,Gemma4E4B,Gender,Unclear,0.8909
prof_cleaning_person,DeepFace,Gender,Man,0.4024
prof_cleaning_person,Qwen25Vl7B,Gender,Man,0.2935
prof_cleaning_person,Gemma4E4B,Gender,Man,0.2817
prof_cleaning_person,Qwen25Vl7B,Gender,Woman,0.2759
prof_cleaning_person,Gemma4E4B,Gender,Woman,0.2656
prof_cleaning_person,BlaifaInternvl358B,Gender,Man,0.2578
prof_cleaning_person,BlaifaInternvl358B,Gender,Woman,0.253
prof_cleaning_person,DeepFace,Gender,Woman,0.1495
prof_cleaning_person,Gemma4E4B,MST,Unclear,0.9578
prof_cleaning_person,BlaifaInternvl358B,MST,Unclear,0.9444
prof_cleaning_person,Qwen25Vl7B,MST,Unclear,0.9433
prof_cleaning_person,Qwen25Vl7B,MST,6,0.4006
prof_cleaning_person,BlaifaInternvl358B,MST,3,0.3775
prof_cleaning_person,Gemma4E4B,MST,3,0.3205
prof_cleaning_person,BlaifaInternvl358B,MST,5,0.2606
prof_cleaning_person,Gemma4E4B,MST,4,0.2528
prof_cleaning_person,Qwen25Vl7B,MST,5,0.2503
prof_cleaning_person,Gemma4E4B,MST,2,0.241
prof_cleaning_person,BlaifaInternvl358B,MST,4,0.2199
prof_cleaning_person,Qwen25Vl7B,MST,3,0.1632
prof_cleaning_person,BlaifaInternvl358B,MST,6,0.1536
prof_cleaning_person,Gemma4E4B,MST,6,0.1241
prof_cleaning_person,Gemma4E4B,MST,5,0.0945
prof_cleaning_person,BlaifaInternvl358B,MST,2,0.0579
prof_cleaning_person,Qwen25Vl7B,MST,8,0.0509
prof_cleaning_person,Qwen25Vl7B,MST,7,0.0442
prof_cleaning_person,Qwen25Vl7B,MST,10,0.0411
prof_cleaning_person,Gemma4E4B,MST,7,0.04
prof_cleaning_person,BlaifaInternvl358B,MST,7,0.0339
prof_cleaning_person,Qwen25Vl7B,MST,9,0.0312
prof_cleaning_person,BlaifaInternvl358B,MST,9,0.0293
prof_cleaning_person,Gemma4E4B,MST,8,0.0277
prof_cleaning_person,BlaifaInternvl358B,MST,8,0.027
prof_cleaning_person,Gemma4E4B,MST,9,0.0141
prof_cleaning_person,Qwen25Vl7B,Race,Unclear,0.949
prof_cleaning_person,BlaifaInternvl358B,Race,Unclear,0.9428
prof_cleaning_person,Gemma4E4B,Race,Unclear,0.8996
prof_cleaning_person,DeepFace,Race,White,0.4355
prof_cleaning_person,DeepFace,Race,Black,0.3893
prof_cleaning_person,BlaifaInternvl358B,Race,White,0.355
prof_cleaning_person,DeepFace,Race,Middle Eastern,0.3286
prof_cleaning_person,Gemma4E4B,Race,White,0.322
prof_cleaning_person,Qwen25Vl7B,Race,White,0.3169
prof_cleaning_person,BlaifaInternvl358B,Race,Asian,0.2577
prof_cleaning_person,Qwen25Vl7B,Race,Asian,0.2438
prof_cleaning_person,Gemma4E4B,Race,Asian,0.2326
prof_cleaning_person,Gemma4E4B,Race,Black,0.1804
prof_cleaning_person,BlaifaInternvl358B,Race,Latino Hispanic,0.1414
prof_cleaning_person,BlaifaInternvl358B,Race,Middle Eastern,0.139
prof_cleaning_person,Gemma4E4B,Race,Latino Hispanic,0.1348
prof_cleaning_person,Gemma4E4B,Race,Indian,0.131
prof_cleaning_person,DeepFace,Race,Asian,0.1287
prof_cleaning_person,BlaifaInternvl358B,Race,Black,0.1277
prof_cleaning_person,Qwen25Vl7B,Race,Middle Eastern,0.1132
prof_cleaning_person,DeepFace,Race,Latino Hispanic,0.1101
prof_cleaning_person,Qwen25Vl7B,Race,Black,0.0972
prof_cleaning_person,BlaifaInternvl358B,Race,Indian,0.0852
prof_cleaning_person,DeepFace,Race,Indian,0.0785
prof_cleaning_person,Qwen25Vl7B,Race,Indian,0.0484
prof_cleaning_person,Gemma4E4B,Race,Middle Eastern,0.0375
prof_cleaning_person,Qwen25Vl7B,Race,Latino Hispanic,0.0298
prof_cleaning_person,ITA,Scale_MST,1,0.4178
